"Core Configurations","Core Configurations"
"Licensing","Licensing"
"MageWorkshop - All Modules","MageWorkshop - All Modules"
"Module %1 is already registered","Module %1 is already registered"
"Can not access the MageWorkshop modules licensing information","Can not access the MageWorkshop modules licensing information"
"Can not decode MageWorkshop modules licensing information","Can not decode MageWorkshop modules licensing information"
"Can not find correct information about the %1 module!","Can not find correct information about the %1 module!"
"No MageWorkshop modules data available","No MageWorkshop modules data available"
