"Disallowed file type.","Disallowed file type."
"Uploaded file is not a valid image. Only JPG, PNG and GIF files are allowed.","Uploaded file is not a valid image. Only JPG, PNG and GIF files are allowed."
"The file size should not exceed ","The file size should not exceed "
