"Mr.","السيد"
"Mrs.","السيدة"
"Promotion Code","قسيمة الترويج",
"Enter Promo code","أدخل رقم الترويج"
"Checkout","الدفع",
"Place Order","تأكيد الطلب"
"'frontend_label' is required. Enter and try again.","يرجى التأكد من الحقول الاجبارية."
